Player,DKP Player Average,DKS Player Average,DKP/DKS Player Average,PlayOff 
"Tate, Auden",1.25,3000,0.000416667,2
"Tate, Golden",12.59333333,5646.666667,0.002230224,1
"Taylor, Taywan",7.046153846,3407.692308,0.00206772,2
"Taylor, Trent",3.964285714,3492.857143,0.001134969,2
"Taylor, Tyrod",10.855,5375,0.002019535,2
Tennessee,7.4375,2512.5,0.002960199,2
"Thielen, Adam",20.95625,7912.5,0.002648499,2
"Thomas, De'Anthony",2.5,3180,0.000786164,1
"Thomas, Demaryius",10.64666667,5013.333333,0.00212367,1
"Thomas, Ian",5.08125,2762.5,0.001839367,2
"Thomas, Jordan",4.09375,2675,0.001530374,1
"Thomas, Logan",1.691666667,2508.333333,0.000674419,2
"Thomas, Michael",20.59375,8356.25,0.002464473,1
"Thomas, Roc",1.42,3080,0.000461039,2
"Thompson, Chris",9.16,5080,0.00180315,2
"Thompson, Deonte",2.546153846,3200,0.000795673,1
"Toilolo, Levine",3.33125,2506.25,0.001329177,2
"Tolliver, Jalen",2.233333333,2000,0.001116667,2
"Tomlinson, Eric",1.013333333,2500,0.000405333,2
"Tonyan, Robert",1.77,2500,0.000708,2
"Treadwell, Laquon",4.746666667,3300,0.001438384,2
"Trubisky, Mitchell",20.71571429,5657.142857,0.003661869,1
"Turbin, Robert",0.65,3500,0.000185714,1
"Turner, De'Lance",2.05,3000,0.000683333,1
"Turner, Malik",1,3000,0.000333333,1
"Uzomah, C.J.",6.55625,3162.5,0.002073123,2
"Valdes-Scantling, Marquez",7.3125,4081.25,0.00179173,2
"Valles, Hakeem",1.033333333,2633.333333,0.000392405,2
"Vannett, Nick",4.926666667,2613.333333,0.001885204,1
"Vitale, Dan",0.3,3000,0.0001,2
"Walker, Delanie",9.2,4900,0.001877551,2
"Wallace, Mike",0,4050,0,1
"Waller, Darren",3.9,2500,0.00156,2
"Walton, Mark",0.892857143,3300,0.000270563,2
"Ware, Spencer",6.076923077,4015.384615,0.00151341,1
Washington,7.5,2481.25,0.00302267,2
"Washington, DeAndre",1.24,3120,0.000397436,2
"Washington, Dwayne",1.415384615,2769.230769,0.000511111,1
"Washington, James",3.121428571,3392.857143,0.00092,2
"Watkins, Sammy",12.11,5010,0.002417166,1
"Watson, Ben",5.4375,3093.75,0.001757576,1
"Watson, Deshaun",22.41875,6231.25,0.003597793,1
"Watson, Justin",0.166666667,3000,5.55556E-05,2
"Watt, Derek",0.14375,3000,4.79167E-05,1
"Webb, Joe",0.20625,4000,5.15625E-05,1
"Weeden, Brandon",-0.1,4500,-2.22222E-05,1
"Wentz, Carson",20.15090909,5854.545455,0.003441925,1
"West, Charcandrick",3.866666667,3000,0.001288889,1
"Westbrook, Dede",11.5375,4543.75,0.002539202,2
"Wheaton, Markus",0,3000,0,1
"White, James",17.2875,6075,0.002845679,1
"White, Kevin",1.466666667,3044.444444,0.000481752,1
"White, Tim",1.2,3000,0.0004,1
"Wick, Cole",0,2500,0,2
"Wilds, Brandon",0.5,2000,0.00025,2
"Wilkins, Jordan",3.88125,3281.25,0.001182857,1
"Williams, Chad",4.1,3040,0.001348684,2
"Williams, Damien",6.4125,3431.25,0.001868852,1
"Williams, Darrel",4.025,3400,0.001183824,1
"Williams, David",0.6,3000,0.0002,2
"Williams, Jamaal",7.15,4212.5,0.001697329,2
"Williams, Jonathan",0.366666667,3800,9.64912E-05,1
"Williams, Maxx",2.853846154,2515.384615,0.001134557,1
"Williams, Mike",11.2625,4106.25,0.00274277,1
"Williams, Nick",0.925,2250,0.000411111,1
"Williams, Terrance",1.266666667,3500,0.000361905,1
"Williams, Tyrell",8.9875,4312.5,0.002084058,1
"Willies, Derrick",9.1,3000,0.003033333,2
"Willson, Luke",1.55,2621.428571,0.000591281,2
"Wilson Jr., Jeff",7.733333333,3250,0.002379487,2
"Wilson, Albert",14.25428571,3742.857143,0.003808397,2
"Wilson, Bobo",2.3,3000,0.000766667,2
"Wilson, Russell",19.46375,5925,0.003285021,1
"Wilson, Shaun",1.28,3000,0.000426667,2
"Wims, Javon",1.8,3000,0.0006,1
"Winston, Jameis",20.72545455,5836.363636,0.00355109,2
"Woods, Robert",17.1625,6562.5,0.002615238,1
"Wright, Jarius",6.1625,3300,0.001867424,2
"Yeldon, T.J.",12.43571429,5092.857143,0.002441795,2
"Zenner, Zach",7.1375,2887.5,0.002471861,2
"Zylstra, Brandon",0.275,3000,9.16667E-05,2
Grand Total,7.530971833,3866.573117,0.001947712,1
